scenario_id,rule,odd,disturbance,seed,na_cell,verdict,cpa_min_nm,asdr_hash,safety_score,rule_score,delay_pen,mag_pen,phase_score,total_score,iv_mode,fail_gif_path
iv_r17_so_Rule17_open_sea_b300_s2,Rule17,open_sea,bf_2_3,0,False,PASS,1.3355,a2c7ca3aaf930d72,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,stand_on,
iv_r17_so_Rule17_open_sea_b315_s1,Rule17,open_sea,bf_2_3,0,False,PASS,1.3355,c58f675e7ff259f8,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,stand_on,
iv_r17_so_Rule17_open_sea_b330_s5,Rule17,open_sea,bf_2_3,0,False,PASS,1.3358,2a175e1075c960d1,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,stand_on,
iv_r17_so_Rule17_port_approach_b240_s4,Rule17,port_approach,bf_2_3,0,False,PASS,1.3370,99e97ced6edd2d1b,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,stand_on,
iv_r17_so_Rule17_port_approach_b270_s3,Rule17,port_approach,bf_2_3,0,False,PASS,1.3363,f68cb520202b8ec2,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,stand_on,
iv_r17_so_Rule17_port_approach_b300_s2,Rule17,port_approach,bf_2_3,0,False,PASS,1.3355,d090943cb07c1c4c,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,stand_on,
iv_r17_so_Rule17_port_approach_b315_s1,Rule17,port_approach,bf_2_3,0,False,PASS,1.3355,47a9c0020e904aa4,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,stand_on,
iv_r17_so_Rule17_port_approach_b330_s5,Rule17,port_approach,bf_2_3,0,False,PASS,1.3358,dfd56be91f0811cf,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,stand_on,
iv_tri_Rule5_open_sea_b150_s3,Rule5,open_sea,bf_2_3,0,False,PASS,1.3367,1f72e65cabce1216,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_tri_Rule5_open_sea_b30_s1,Rule5,open_sea,bf_2_3,0,False,PASS,1.8499,06c1e8e766fc4cd4,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_tri_Rule5_open_sea_b45_s4,Rule5,open_sea,bf_2_3,0,False,PASS,1.3355,2e4c7a87bea77c65,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_tri_Rule5_open_sea_b60_s5,Rule5,open_sea,bf_2_3,0,False,PASS,1.3355,adadc05dfc344d50,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
iv_tri_Rule5_open_sea_b90_s2,Rule5,open_sea,bf_2_3,0,False,PASS,1.3363,fe4d6cc0d933251c,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,give_way,
